"filename", "language", "XML", "C#", "JSON", "MonoGame Content Builder", "Properties", "Markdown", "comment", "blank", "total"
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/Handlers/SimulationHandler.cs", "C#", 0, 338, 0, 0, 0, 0, 19, 42, 399
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/PhysicsLaws/PhysicsLaws.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/ThermalClasses.csproj", "XML", 11, 0, 0, 0, 0, 0, 0, 2, 13
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/bin/Debug/net6.0/ThermalClasses.deps.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 92
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/obj/Debug/net6.0/.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 1, 1, 5
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/obj/Debug/net6.0/ThermalClasses.AssemblyInfo.cs", "C#", 0, 2, 0, 0, 0, 0, 9, 5, 16
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/obj/Debug/net6.0/ThermalClasses.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 10, 0, 0, 1, 11
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/obj/Debug/net6.0/ThermalClasses.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 1, 1, 9
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/obj/ThermalClasses.csproj.nuget.dgspec.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 71
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/obj/ThermalClasses.csproj.nuget.g.props", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 18
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/obj/ThermalClasses.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 7
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalClasses/obj/project.assets.json", "JSON", 0, 0, 170, 0, 0, 0, 0, 0, 170
"/home/kayla/Documents/GitHub/ThermalSimulation/ThermalSimulation.csproj", "XML", 33, 0, 0, 0, 0, 0, 0, 0, 33
"/home/kayla/Documents/GitHub/ThermalSimulation/bin/Debug/net6.0/Tests.deps.json", "JSON", 0, 0, 1825, 0, 0, 0, 0, 0, 1825
"/home/kayla/Documents/GitHub/ThermalSimulation/bin/Debug/net6.0/Tests.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 9
"/home/kayla/Documents/GitHub/ThermalSimulation/bin/Debug/net6.0/ThermalSimulation.deps.json", "JSON", 0, 0, 1823, 0, 0, 0, 0, 0, 1823
"/home/kayla/Documents/GitHub/ThermalSimulation/bin/Debug/net6.0/ThermalSimulation.runtimeconfig.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 13
"/home/kayla/Documents/GitHub/ThermalSimulation/obj/Debug/net6.0/.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 2, 0, 0, 0, 0, 1, 1, 4
"/home/kayla/Documents/GitHub/ThermalSimulation/obj/Debug/net6.0/ThermalSimulation.AssemblyInfo.cs", "C#", 0, 2, 0, 0, 0, 0, 9, 5, 16
"/home/kayla/Documents/GitHub/ThermalSimulation/obj/Debug/net6.0/ThermalSimulation.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 10, 0, 0, 1, 11
"/home/kayla/Documents/GitHub/ThermalSimulation/obj/ThermalSimulation.csproj.nuget.dgspec.json", "JSON", 0, 0, 220, 0, 0, 0, 0, 0, 220
"/home/kayla/Documents/GitHub/ThermalSimulation/obj/ThermalSimulation.csproj.nuget.g.props", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 22
"/home/kayla/Documents/GitHub/ThermalSimulation/obj/ThermalSimulation.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 7
"/home/kayla/Documents/GitHub/ThermalSimulation/obj/project.assets.json", "JSON", 0, 0, 6214, 0, 0, 0, 0, 0, 6214
"Total", "-", 154, 1192, 18758, 101, 30, 2, 153, 215, 20605
